,Tanggal,RH_avg,Tavg,RR,ss
0,01-01-2012,25.1,87,39.5,2.9
1,02-01-2012,25.3,85,8.5,3
2,03-01-2012,26.4,88,2,3.1
3,04-01-2012,26.7,81,2.8,7.8
4,05-01-2012,26.6,85,8.8,5.2
5,06-01-2012,26.3,86,2.8,0.6
6,07-01-2012,25.2,90,4.3,3.2
7,08-01-2012,26,88,48,3.3
8,09-01-2012,26.8,79,6,0.8
9,10-01-2012,24.7,90,13.2,2.4
10,11-01-2012,24.9,90,4.5,1
11,12-01-2012,25.4,88,5.8,3.5
12,13-01-2012,25.1,92,2,3.4
13,14-01-2012,24.2,90,56.5,3.3
14,15-01-2012,26.6,83,12.1,3.3
15,16-01-2012,26.5,82,9.1,5.1
16,17-01-2012,27.3,78,6.5,7
17,18-01-2012,26.8,81,4.5,4.3
18,19-01-2012,27,80,9.4,4.8
19,20-01-2012,27.2,70,9.7,6
20,21-01-2012,26.4,81,10,3
21,22-01-2012,26.9,78,10.3,2.7
22,23-01-2012,26.1,81,10.6,3
23,24-01-2012,27.4,66,1,7.9
24,25-01-2012,25.9,81,13.5,0.8
25,26-01-2012,27,81,26,4.4
26,27-01-2012,27.1,82,4,7.5
27,28-01-2012,25.9,81,2,2.1
28,29-01-2012,24.7,94,3.4,0.3
29,30-01-2012,26.2,86,1.4,2.2
30,31-01-2012,25.9,86,2.4,3.5
31,01-01-2012,25.1,87,39.5,2.9
32,02-01-2012,25.3,85,8.5,3
33,03-01-2012,26.4,88,2,3.1
34,04-01-2012,26.7,81,2.8,7.8
35,05-01-2012,26.6,85,8.8,5.2
36,06-01-2012,26.3,86,2.8,0.6
37,07-01-2012,25.2,90,4.3,3.2
38,08-01-2012,26,88,48,3.3
39,09-01-2012,26.8,79,6,0.8
40,10-01-2012,24.7,90,13.2,2.4
41,11-01-2012,24.9,90,4.5,1
42,12-01-2012,25.4,88,5.8,3.5
43,13-01-2012,25.1,92,2,3.4
44,14-01-2012,24.2,90,56.5,3.3
45,15-01-2012,26.6,83,12.1,3.3
46,16-01-2012,26.5,82,9.1,5.1
47,17-01-2012,27.3,78,6.5,7
48,18-01-2012,26.8,81,4.5,4.3
49,19-01-2012,27,80,9.4,4.8
50,20-01-2012,27.2,70,9.7,6
51,21-01-2012,26.4,81,10,3
52,22-01-2012,26.9,78,10.3,2.7
53,23-01-2012,26.1,81,10.6,3
54,24-01-2012,27.4,66,1,7.9
55,25-01-2012,25.9,81,13.5,0.8
56,26-01-2012,27,81,26,4.4
57,27-01-2012,27.1,82,4,7.5
